Team_Name,Opp_Name,Date,Game_Round,Team_Outcome,Team_Goals,Team_Points,Team_Score,Opp_Goals,Opp_Points,Opp_Score,Venue
WESTMEATH,ANTRIM,16/02/2003,"NFL, DIV 2  SA",WIN,0,15,15,2,7,13,CASEMENT PARK
MONAGHAN,WEXFORD,16/02/2003,"NFL, DIV 2  SB",LOSS,2,8,14,2,12,18,WEXFORD PARK
MONAGHAN,DERRY,23/02/2003,"NFL, DIV 2  SB",LOSS,0,7,7,4,15,27,BALLINASCREEN
GALWAY,CORK,01/03/2003,"NFL, DIV 1  SA",LOSS,1,9,12,1,10,13,PAIRC UI RINN
ROSCOMMON,ARMAGH,02/03/2003,"NFL, DIV 1  SA",LOSS,0,9,9,0,14,14,CROSSMAGLEN
MAYO,CAVAN,02/03/2003,"NFL, DIV 1  SB",LOSS,0,11,11,1,16,19,BREFFNI PARK
FERMANAGH,KILDARE,02/03/2003,"NFL, DIV 1  SB",WIN,2,8,14,0,9,9,NEWBRIDGE
KERRY,DUBLIN,02/03/2003,"NFL, DIV 1  SA",WIN,2,11,17,0,14,14,FITZGERALD STADIUM
LAOIS,DOWN,02/03/2003,"NFL, DIV 1  SB",TIE,0,17,17,2,11,17,O'MOORE PARK
SLIGO,MEATH,02/03/2003,"NFL, DIV 1  SB",LOSS,1,9,12,0,13,13,MARKIEVICZ PARK
DONEGAL,TYRONE,02/03/2003,"NFL, DIV 1  SA",LOSS,0,10,10,1,14,17,UNKNOWN
CARLOW,TIPPERARY,02/03/2003,"NFL, DIV 2  SB",WIN,1,14,17,1,8,11,ARDFINNAN
WATERFORD,DERRY,02/03/2003,"NFL, DIV 2  SB",LOSS,2,5,11,1,15,18,DUNGARVAN
LEITRIM,LOUTH,02/03/2003,"NFL, DIV 2  SA",LOSS,2,7,13,1,11,14,UNKNOWN
MONAGHAN,LONGFORD,02/03/2003,"NFL, DIV 2  SB",LOSS,0,10,10,1,9,12,CLONES
OFFALY,ANTRIM,02/03/2003,"NFL, DIV 2  SA",TIE,1,9,12,1,9,12,TULLAMORE
LONDON,WICKLOW,02/03/2003,"NFL, DIV 2  SA",LOSS,0,9,9,0,12,12,RUISLIP
WESTMEATH,LIMERICK,02/03/2003,"NFL, DIV 2  SA",WIN,0,12,12,0,9,9,"CUSACK PARK, ENNIS"
CLARE,WEXFORD,02/03/2003,"NFL, DIV 2  SB",LOSS,0,5,5,0,10,10,"CUSACK PARK, ENNIS"
CORK,DUBLIN,09/03/2003,"NFL, DIV 1  SA",WIN,0,16,16,0,8,8,PARNELL PARK
DOWN,CAVAN,09/03/2003,"NFL, DIV 1  SB",LOSS,1,10,13,1,13,16,UNKNOWN
FERMANAGH,MEATH,09/03/2003,"NFL, DIV 1  SB",WIN,3,9,18,0,12,12,BREWSTER PARK
DONEGAL,KERRY,09/03/2003,"NFL, DIV 1  SA",LOSS,0,8,8,1,12,15,BALLYSHANNON
LAOIS,SLIGO,09/03/2003,"NFL, DIV 1  SB",WIN,1,8,11,0,5,5,PORTLAOISE
KILDARE,MAYO,09/03/2003,"NFL, DIV 1  SB",LOSS,0,9,9,0,12,12,BALLINA
GALWAY,ROSCOMMON,09/03/2003,"NFL, DIV 1  SA",LOSS,0,8,8,2,10,16,DUGGAN PARK
ARMAGH,TYRONE,09/03/2003,"NFL, DIV 1  SA",LOSS,0,10,10,1,9,12,OMAGH
CARLOW,DERRY,09/03/2003,"NFL, DIV 2  SB",LOSS,1,8,11,5,13,28,DR CULLEN PARK
ANTRIM,LOUTH,09/03/2003,"NFL, DIV 2  SA",LOSS,0,8,8,1,13,16,CASEMENT PARK
WICKLOW,LEITRIM,09/03/2003,"NFL, DIV 2  SA",LOSS,1,7,10,1,14,17,CARRICK ON SHANNON
OFFALY,LIMERICK,09/03/2003,"NFL, DIV 2  SA",LOSS,1,7,10,2,5,11,KILLMALOCK
CLARE,LONGFORD,09/03/2003,"NFL, DIV 2  SB",LOSS,0,12,12,2,11,17,PEARSE PARK
WATERFORD,MONAGHAN,09/03/2003,"NFL, DIV 2  SB",LOSS,1,6,9,0,18,18,CLONES
WESTMEATH,LONDON,09/03/2003,"NFL, DIV 2  SA",WIN,3,19,28,1,7,10,ROCHFORTBRIDGE
TIPPERARY,WEXFORD,09/03/2003,"NFL, DIV 2  SB",LOSS,0,7,7,2,14,20,WEXFORD PARK
DONEGAL,CORK,22/03/2003,"NFL, DIV 1  SA",LOSS,0,10,10,3,8,17,PAIRC UI RINN
DERRY,WEXFORD,22/03/2003,"NFL, DIV 2  SB",WIN,3,12,21,1,7,10,CELTIC PARK
LIMERICK,LOUTH,22/03/2003,"NFL, DIV 2  SA",WIN,1,14,17,1,12,15,ARDEE
LAOIS,CAVAN,23/03/2003,"NFL, DIV 1  SB",TIE,2,17,23,4,11,23,BREFFNI PARK
ROSCOMMON,DUBLIN,23/03/2003,"NFL, DIV 1  SA",LOSS,0,14,14,0,17,17,DR HYDE PARK
FERMANAGH,SLIGO,23/03/2003,"NFL, DIV 1  SB",WIN,1,10,13,0,11,11,MARKIEVICZ PARK
GALWAY,ARMAGH,23/03/2003,"NFL, DIV 1  SA",WIN,1,17,20,1,14,17,UNKNOWN
KILDARE,DOWN,23/03/2003,"NFL, DIV 1  SB",WIN,1,16,19,1,11,14,NEWBRIDGE
MEATH,MAYO,23/03/2003,"NFL, DIV 1  SB",WIN,1,16,19,0,12,12,PAIRC TAILTEAN
TYRONE,KERRY,23/03/2003,"NFL, DIV 1  SA",WIN,1,13,16,0,14,14,FITZGERALD STADIUM
WICKLOW,ANTRIM,23/03/2003,"NFL, DIV 2  SA",LOSS,2,10,16,1,14,17,AUGHRIM
CARLOW,WATERFORD,23/03/2003,"NFL, DIV 2  SB",WIN,0,19,19,1,6,9,DUNGARVAN
LONDON,LEITRIM,23/03/2003,"NFL, DIV 2  SA",LOSS,1,7,10,3,12,21,RUISLIP
TIPPERARY,LONGFORD,23/03/2003,"NFL, DIV 2  SB",LOSS,2,11,17,4,18,30,NENAGH
CLARE,MONAGHAN,23/03/2003,"NFL, DIV 2  SB",LOSS,2,10,16,1,19,22,ENNIS
WESTMEATH,OFFALY,23/03/2003,"NFL, DIV 2  SA",LOSS,1,10,13,1,13,16,O'CONNOR PARK
LONDON,OFFALY,05/04/2003,"NFL, DIV 2  SB",LOSS,0,7,7,2,17,23,GRACEFIELD
GALWAY,DUBLIN,06/04/2003,"NFL, DIV 1  SA",TIE,1,9,12,0,12,12,PARNELL PARK
ROSCOMMON,DONEGAL,06/04/2003,"NFL, DIV 1  SA",LOSS,1,10,13,2,10,16,BALLYBOFEY
MEATH,DOWN,06/04/2003,"NFL, DIV 1  SB",LOSS,1,11,14,0,15,15,NEWCASTLE
FERMANAGH,MAYO,06/04/2003,"NFL, DIV 1  SB",WIN,0,12,12,0,11,11,CHARLESTOWN
ARMAGH,KERRY,06/04/2003,"NFL, DIV 1  SA",LOSS,2,8,14,1,13,16,AUSTIN STACK PARK
LAOIS,KILDARE,06/04/2003,"NFL, DIV 1  SB",WIN,1,14,17,1,9,12,PORTLAOISE
SLIGO,CAVAN,06/04/2003,"NFL, DIV 1  SB",WIN,1,16,19,1,12,15,BREFFNI PARK
TYRONE,CORK,06/04/2003,"NFL, DIV 1  SA",WIN,1,17,20,0,14,14,DUNGANNON
LEITRIM,ANTRIM,06/04/2003,"NFL, DIV 2  SA",LOSS,1,9,12,1,16,19,CASEMENT PARK
WATERFORD,CLARE,06/04/2003,"NFL, DIV 2  SB",LOSS,1,10,13,1,23,26,"CUSACK PARK, ENNIS"
WICKLOW,LIMERICK,06/04/2003,"NFL, DIV 2  SA",LOSS,0,10,10,3,17,26,UNKNOWN
DERRY,LONGFORD,06/04/2003,"NFL, DIV 2  SB",LOSS,0,10,10,1,12,15,BALLYMAHON
MONAGHAN,TIPPERARY,06/04/2003,"NFL, DIV 2  SB",WIN,1,12,15,1,8,11,CLONES
WESTMEATH,LOUTH,06/04/2003,"NFL, DIV 2  SA",WIN,0,18,18,2,8,14,"CUSACK PARK, ENNIS"
CARLOW,WEXFORD,06/04/2003,"NFL, DIV 2  SB",LOSS,0,11,11,1,9,12,WEXFORD PARK
LAOIS,ARMAGH,20/04/2003,"NFL, DIV 1  SEMI-FINAL",WIN,1,14,17,1,11,14,CROKE PARK
SLIGO,KILDARE,20/04/2003,"NFL, DIV 1  SB",WIN,0,12,12,1,7,10,MARKIEVICZ PARK
FERMANAGH,TYRONE,20/04/2003,"NFL, DIV 1  SEMI-FINAL",LOSS,1,11,14,4,11,23,TYRONE
WESTMEATH,LONGFORD,20/04/2003,"NFL, DIV 2  SEMI-FINAL",WIN,1,16,19,2,2,8,DR HYDE PARK
LIMERICK,WEXFORD,21/04/2003,"NFL, DIV 2  SEMI-FINAL",WIN,2,13,19,0,7,7,O'MOORE PARK
LAOIS,TYRONE,04/05/2003,"NFL, DIV 1  FINAL",LOSS,1,8,11,0,21,21,CROKE PARK
WESTMEATH,LIMERICK,04/05/2003,"NFL, DIV 2  FINAL",WIN,2,12,18,1,14,17,CROKE PARK
WESTMEATH,CORK,31/01/2004,"NFL, DIV 1  SA",TIE,2,5,11,1,8,11,NULL
ARMAGH,WEXFORD,01/02/2004,"NFL, DIV 1  SB",WIN,1,6,9,0,8,8,NULL
TYRONE,DUBLIN,01/02/2004,"NFL, DIV 1  SA",LOSS,0,8,8,0,9,9,NULL
FERMANAGH,MAYO,01/02/2004,"NFL, DIV 1  SA",LOSS,0,8,8,1,7,10,NULL
KERRY,LONGFORD,01/02/2004,"NFL, DIV 1  SA",LOSS,1,12,15,3,7,16,NULL
LIMERICK,LAOIS,01/02/2004,"NFL, DIV 1  SB",WIN,2,13,19,1,5,8,NULL
MEATH,GALWAY,01/02/2004,"NFL, DIV 1  SB",WIN,2,12,18,1,12,15,NULL
SLIGO,CAVAN,01/02/2004,"NFL, DIV 1  SB",WIN,2,12,18,0,9,9,NULL
CARLOW,MONAGHAN,01/02/2004,"NFL, DIV 2  SA",WIN,0,13,13,0,11,11,NULL
CLARE,ROSCOMMON,01/02/2004,"NFL, DIV 2  SA",LOSS,0,6,6,0,11,11,NULL
OFFALY,DONEGAL,01/02/2004,"NFL, DIV 2  SA",LOSS,1,7,10,2,7,13,NULL
DOWN,TIPPERARY,01/02/2004,"NFL, DIV 2  SB",TIE,3,11,20,3,11,20,NULL
KILDARE,DERRY,01/02/2004,"NFL, DIV 2  SB",WIN,1,14,17,0,12,12,NULL
LONDON,LEITRIM,01/02/2004,"NFL, DIV 2  SA",LOSS,0,8,8,2,6,12,NULL
ANTRIM,LOUTH,01/02/2004,"NFL, DIV 2  SB",WIN,1,9,12,1,7,10,NULL
WICKLOW,WATERFORD,01/02/2004,"NFL, DIV 2  SB",WIN,1,16,19,0,6,6,NULL
KERRY,CORK,07/02/2004,"NFL, DIV 1  SA",WIN,0,11,11,0,9,9,NULL
LIMERICK,CAVAN,08/02/2004,"NFL, DIV 1  SB",WIN,0,11,11,0,7,7,NULL
GALWAY,ARMAGH,08/02/2004,"NFL, DIV 1  SB",WIN,0,16,16,0,8,8,NULL
MAYO,DUBLIN,08/02/2004,"NFL, DIV 1  SA",WIN,1,10,13,0,3,3,NULL
LAOIS,SLIGO,08/02/2004,"NFL, DIV 1  SB",LOSS,0,8,8,2,6,12,NULL
FERMANAGH,TYRONE,08/02/2004,"NFL, DIV 1  SA",LOSS,0,10,10,2,9,15,NULL
WESTMEATH,LONGFORD,08/02/2004,"NFL, DIV 1  SA",LOSS,1,13,16,2,12,18,NULL
MEATH,WEXFORD,08/02/2004,"NFL, DIV 1  SB",LOSS,1,5,8,0,10,10,NULL
ANTRIM,KILDARE,08/02/2004,"NFL, DIV 2  SB",LOSS,1,8,11,1,10,13,NULL
DERRY,LOUTH,08/02/2004,"NFL, DIV 2  SB",WIN,0,21,21,1,7,10,NULL
LEITRIM,DONEGAL,08/02/2004,"NFL, DIV 2  SA",LOSS,1,5,8,2,10,16,NULL
CLARE,MONAGHAN,08/02/2004,"NFL, DIV 2  SA",LOSS,1,12,15,4,9,21,NULL
LONDON,OFFALY,08/02/2004,"NFL, DIV 2  SA",LOSS,1,8,11,1,13,16,NULL
CARLOW,ROSCOMMON,08/02/2004,"NFL, DIV 2  SA",LOSS,1,9,12,0,17,17,NULL
WATERFORD,TIPPERARY,08/02/2004,"NFL, DIV 2  SB",LOSS,1,8,11,0,17,17,NULL
WICKLOW,DOWN,08/02/2004,"NFL, DIV 2  SB",TIE,1,5,8,0,8,8,NULL
MAYO,CORK,14/02/2004,"NFL, DIV 1  SA",LOSS,0,10,10,2,9,15,NULL
LAOIS,ARMAGH,15/02/2004,"NFL, DIV 1  SB",LOSS,2,8,14,1,14,17,NULL
KERRY,DUBLIN,15/02/2004,"NFL, DIV 1  SA",WIN,1,12,15,0,12,12,NULL
WESTMEATH,FERMANAGH,15/02/2004,"NFL, DIV 1  SA",TIE,0,12,12,1,9,12,NULL
TYRONE,LONGFORD,15/02/2004,"NFL, DIV 1  SA",WIN,3,15,24,0,9,9,NULL
LIMERICK,WEXFORD,15/02/2004,"NFL, DIV 1  SB",WIN,2,10,16,1,9,12,NULL
MEATH,CAVAN,15/02/2004,"NFL, DIV 1  SB",WIN,2,11,17,0,12,12,NULL
SLIGO,GALWAY,15/02/2004,"NFL, DIV 1  SB",TIE,1,11,14,1,11,14,NULL
CARLOW,OFFALY,15/02/2004,"NFL, DIV 2  SA",LOSS,1,11,14,2,9,15,NULL
LEITRIM,CLARE,15/02/2004,"NFL, DIV 2  SA",LOSS,0,9,9,1,13,16,NULL
MONAGHAN,DONEGAL,15/02/2004,"NFL, DIV 2  SA",LOSS,1,11,14,3,6,15,NULL
DOWN,DERRY,15/02/2004,"NFL, DIV 2  SB",WIN,2,10,16,2,6,12,NULL
KILDARE,TIPPERARY,15/02/2004,"NFL, DIV 2  SB",WIN,0,13,13,0,8,8,NULL
LONDON,ROSCOMMON,15/02/2004,"NFL, DIV 2  SA",LOSS,2,7,13,2,12,18,NULL
WICKLOW,LOUTH,15/02/2004,"NFL, DIV 2  SB",WIN,1,11,14,1,8,11,NULL
WATERFORD,ANTRIM,15/02/2004,"NFL, DIV 2  SB",LOSS,3,8,17,1,16,19,NULL
CAVAN,ARMAGH,07/03/2004,"NFL, DIV 1  SB",WIN,3,12,21,0,8,8,NULL
LIMERICK,GALWAY,07/03/2004,"NFL, DIV 1  SB",LOSS,1,10,13,4,11,23,NULL
FERMANAGH,KERRY,07/03/2004,"NFL, DIV 1  SA",LOSS,0,6,6,2,18,24,NULL
LAOIS,MEATH,07/03/2004,"NFL, DIV 1  SB",WIN,1,15,18,1,12,15,NULL
MAYO,LONGFORD,07/03/2004,"NFL, DIV 1  SA",WIN,0,16,16,0,8,8,NULL
WESTMEATH,DUBLIN,07/03/2004,"NFL, DIV 1  SA",LOSS,0,10,10,0,15,15,NULL
SLIGO,WEXFORD,07/03/2004,"NFL, DIV 1  SB",LOSS,0,13,13,3,17,26,NULL
ANTRIM,DOWN,07/03/2004,"NFL, DIV 2  SB",TIE,1,9,12,1,9,12,NULL
WATERFORD,DERRY,07/03/2004,"NFL, DIV 2  SB",LOSS,0,4,4,5,17,32,NULL
CARLOW,LEITRIM,07/03/2004,"NFL, DIV 2  SA",LOSS,1,8,11,1,10,13,NULL
LONDON,MONAGHAN,07/03/2004,"NFL, DIV 2  SA",LOSS,0,9,9,0,15,15,NULL
OFFALY,CLARE,07/03/2004,"NFL, DIV 2  SA",WIN,1,11,14,0,10,10,NULL
ROSCOMMON,DONEGAL,07/03/2004,"NFL, DIV 2  SA",LOSS,0,11,11,0,12,12,NULL
TIPPERARY,LOUTH,07/03/2004,"NFL, DIV 2  SB",WIN,0,16,16,1,10,13,NULL
WICKLOW,KILDARE,07/03/2004,"NFL, DIV 2  SB",LOSS,0,11,11,0,13,13,NULL
SLIGO,ARMAGH,14/03/2004,"NFL, DIV 1  SB",LOSS,0,10,10,1,12,15,NULL
CORK,LONGFORD,14/03/2004,"NFL, DIV 1  SA",WIN,3,10,19,1,10,13,NULL
FERMANAGH,DUBLIN,14/03/2004,"NFL, DIV 1  SA",TIE,0,12,12,0,12,12,NULL
LAOIS,GALWAY,14/03/2004,"NFL, DIV 1  SB",TIE,1,10,13,1,10,13,NULL
LIMERICK,MEATH,14/03/2004,"NFL, DIV 1  SB",TIE,2,5,11,1,8,11,NULL
MAYO,TYRONE,14/03/2004,"NFL, DIV 1  SA",LOSS,1,5,8,2,11,17,NULL
WESTMEATH,KERRY,14/03/2004,"NFL, DIV 1  SA",LOSS,0,10,10,2,10,16,NULL
CAVAN,WEXFORD,14/03/2004,"NFL, DIV 1  SB",TIE,1,11,14,1,11,14,NULL
CARLOW,CLARE,14/03/2004,"NFL, DIV 2  SA",WIN,2,7,13,0,10,10,NULL
ANTRIM,DERRY,14/03/2004,"NFL, DIV 2  SB",LOSS,1,8,11,3,13,22,NULL
WATERFORD,DOWN,14/03/2004,"NFL, DIV 2  SB",LOSS,1,9,12,3,15,24,NULL
KILDARE,LOUTH,14/03/2004,"NFL, DIV 2  SB",WIN,0,15,15,1,11,14,NULL
LONDON,DONEGAL,14/03/2004,"NFL, DIV 2  SA",LOSS,1,6,9,1,14,17,NULL
OFFALY,LEITRIM,14/03/2004,"NFL, DIV 2  SA",WIN,2,10,16,0,4,4,NULL
MONAGHAN,ROSCOMMON,14/03/2004,"NFL, DIV 2  SA",LOSS,1,4,7,0,12,12,NULL
WICKLOW,TIPPERARY,14/03/2004,"NFL, DIV 2  SB",WIN,0,12,12,0,7,7,NULL
LAOIS,CAVAN,21/03/2004,"NFL, DIV 1  SB",WIN,1,11,14,1,8,11,NULL
CORK,DUBLIN,21/03/2004,"NFL, DIV 1  SA",TIE,0,9,9,0,9,9,NULL
GALWAY,WEXFORD,21/03/2004,"NFL, DIV 1  SB",LOSS,1,7,10,5,12,27,NULL
MAYO,KERRY,21/03/2004,"NFL, DIV 1  SA",LOSS,0,8,8,1,13,16,NULL
MEATH,ARMAGH,21/03/2004,"NFL, DIV 1  SB",TIE,2,7,13,2,7,13,NULL
LIMERICK,SLIGO,21/03/2004,"NFL, DIV 1  SB",TIE,0,10,10,1,7,10,NULL
WESTMEATH,TYRONE,21/03/2004,"NFL, DIV 1  SA",LOSS,0,6,6,2,11,17,NULL
ANTRIM,TIPPERARY,21/03/2004,"NFL, DIV 2  SB",LOSS,1,11,14,2,15,21,NULL
LONDON,CARLOW,21/03/2004,"NFL, DIV 2  SA",WIN,1,10,13,0,12,12,NULL
CLARE,DONEGAL,21/03/2004,"NFL, DIV 2  SA",LOSS,2,4,10,0,12,12,NULL
DOWN,LOUTH,21/03/2004,"NFL, DIV 2  SB",WIN,3,15,24,1,12,15,NULL
LEITRIM,MONAGHAN,21/03/2004,"NFL, DIV 2  SA",TIE,0,8,8,0,8,8,NULL
OFFALY,ROSCOMMON,21/03/2004,"NFL, DIV 2  SA",WIN,1,13,16,1,6,9,NULL
WICKLOW,DERRY,21/03/2004,"NFL, DIV 2  SB",WIN,1,6,9,0,7,7,NULL
WATERFORD,KILDARE,21/03/2004,"NFL, DIV 2  SB",LOSS,0,6,6,3,22,31,NULL
FERMANAGH,LONGFORD,28/03/2004,"NFL, DIV 1  SA",WIN,0,13,13,1,8,11,NULL
TYRONE,CORK,28/03/2004,"NFL, DIV 1  SA",TIE,1,9,12,1,9,12,NULL
FERMANAGH,CORK,04/04/2004,"NFL, DIV 1  SA",LOSS,0,8,8,1,10,13,NULL
GALWAY,CAVAN,04/04/2004,"NFL, DIV 1  SB",WIN,2,12,18,2,11,17,NULL
LONGFORD,DUBLIN,04/04/2004,"NFL, DIV 1  SA",LOSS,2,9,15,2,12,18,NULL
LIMERICK,ARMAGH,04/04/2004,"NFL, DIV 1  SB",WIN,0,15,15,0,12,12,NULL
LAOIS,WEXFORD,04/04/2004,"NFL, DIV 1  SB",WIN,1,14,17,1,8,11,NULL
SLIGO,MEATH,04/04/2004,"NFL, DIV 1  SB",WIN,1,14,17,3,7,16,NULL
TYRONE,KERRY,04/04/2004,"NFL, DIV 1  SA",WIN,1,8,11,1,7,10,NULL
WESTMEATH,MAYO,04/04/2004,"NFL, DIV 1  SA",WIN,2,16,22,2,10,16,NULL
WICKLOW,ANTRIM,04/04/2004,"NFL, DIV 2  SB",LOSS,1,7,10,1,9,12,NULL
LONDON,CLARE,04/04/2004,"NFL, DIV 2  SA",LOSS,2,6,12,1,20,23,NULL
CARLOW,DONEGAL,04/04/2004,"NFL, DIV 2  SA",LOSS,0,5,5,3,15,24,NULL
KILDARE,DOWN,04/04/2004,"NFL, DIV 2  SB",TIE,0,13,13,1,10,13,NULL
WATERFORD,LOUTH,04/04/2004,"NFL, DIV 2  SB",LOSS,1,13,16,1,17,20,NULL
OFFALY,MONAGHAN,04/04/2004,"NFL, DIV 2  SA",WIN,3,8,17,0,5,5,NULL
LEITRIM,ROSCOMMON,04/04/2004,"NFL, DIV 2  SA",LOSS,0,5,5,0,11,11,NULL
TIPPERARY,DERRY,04/04/2004,"NFL, DIV 2  SB",WIN,3,13,22,1,14,17,NULL
LIMERICK,KERRY,18/04/2004,"NFL, DIV 1  SEMI-FINAL",LOSS,0,10,10,0,12,12,TRALEE
GALWAY,TYRONE,18/04/2004,"NFL, DIV 1  SEMI-FINAL",TIE,1,16,19,1,16,19,OMAGH
DOWN,DONEGAL,18/04/2004,"NFL, DIV 2  SEMI-FINAL",WIN,2,5,11,0,10,10,CLONES
OFFALY,KILDARE,18/04/2004,"NFL, DIV 2  SEMI-FINAL",WIN,1,16,19,1,8,11,O'MOORE PARK
GALWAY,TYRONE,24/04/2004,"NFL, DIV 1  SEMI-FINAL REPLAY",WIN,2,18,24,1,19,22,PEARSE STADIUM
GALWAY,KERRY,02/05/2004,"NFL, DIV 1  FINAL",LOSS,1,16,19,3,11,20,CROKE PARK
OFFALY,DOWN,02/05/2004,"NFL, DIV 2  FINAL",WIN,1,10,13,1,8,11,CROKE PARK
KERRY,CORK,04/02/2005,"NFL, DIV 1  SA",LOSS,0,8,8,1,12,15,NULL
MAYO,DUBLIN,05/02/2005,"NFL, DIV 1  SA",LOSS,1,15,18,2,13,19,NULL
DONEGAL,TYRONE,06/02/2005,"NFL, DIV 1  SA",LOSS,0,10,10,1,11,14,NULL
SLIGO,DOWN,06/02/2005,"NFL, DIV 1  SB",LOSS,0,11,11,2,13,19,NULL
KILDARE,GALWAY,06/02/2005,"NFL, DIV 1  SB",LOSS,0,8,8,2,11,17,NULL
LIMERICK,LAOIS,06/02/2005,"NFL, DIV 1  SB",LOSS,2,5,11,0,12,12,NULL
WESTMEATH,OFFALY,06/02/2005,"NFL, DIV 1  SA",LOSS,0,14,14,2,11,17,NULL
ARMAGH,WEXFORD,06/02/2005,"NFL, DIV 1  SB",LOSS,2,6,12,2,13,19,NULL
ANTRIM,LOUTH,06/02/2005,"NFL, DIV 2  SB",WIN,0,16,16,1,12,15,NULL
MEATH,DERRY,06/02/2005,"NFL, DIV 2  SB",LOSS,2,9,15,1,15,18,NULL
LONDON,LEITRIM,06/02/2005,"NFL, DIV 2  SA",LOSS,0,3,3,0,21,21,NULL
CARLOW,MONAGHAN,06/02/2005,"NFL, DIV 2  SA",LOSS,2,9,15,0,20,20,NULL
CLARE,ROSCOMMON,06/02/2005,"NFL, DIV 2  SA",TIE,0,8,8,0,8,8,NULL
TIPPERARY,CAVAN,06/02/2005,"NFL, DIV 2  SB",LOSS,0,5,5,1,10,13,NULL
WICKLOW,WATERFORD,06/02/2005,"NFL, DIV 2  SB",WIN,0,16,16,2,7,13,NULL
OFFALY,KERRY,12/02/2005,"NFL, DIV 1  SA",LOSS,0,16,16,2,13,19,NULL
WICKLOW,CAVAN,12/02/2005,"NFL, DIV 2  SB",LOSS,1,5,8,1,12,15,NULL
FERMANAGH,LEITRIM,12/02/2005,"NFL, DIV 2  SA",WIN,0,9,9,0,7,7,NULL
GALWAY,ARMAGH,13/02/2005,"NFL, DIV 1  SB",LOSS,0,4,4,1,11,14,NULL
KILDARE,WEXFORD,13/02/2005,"NFL, DIV 1  SB",LOSS,1,9,12,1,13,16,NULL
LIMERICK,DOWN,13/02/2005,"NFL, DIV 1  SB",LOSS,0,7,7,1,8,11,NULL
MAYO,DONEGAL,13/02/2005,"NFL, DIV 1  SA",WIN,2,10,16,1,11,14,NULL
LAOIS,SLIGO,13/02/2005,"NFL, DIV 1  SB",WIN,1,15,18,0,11,11,NULL
TYRONE,DUBLIN,13/02/2005,"NFL, DIV 1  SA",WIN,1,10,13,0,9,9,NULL
WESTMEATH,CORK,13/02/2005,"NFL, DIV 1  SA",TIE,1,9,12,2,6,12,NULL
CLARE,MONAGHAN,13/02/2005,"NFL, DIV 2  SA",TIE,2,2,8,0,8,8,NULL
CARLOW,ROSCOMMON,13/02/2005,"NFL, DIV 2  SA",TIE,1,9,12,0,12,12,NULL
LONDON,LONGFORD,13/02/2005,"NFL, DIV 2  SA",LOSS,0,4,4,3,9,18,NULL
DERRY,LOUTH,13/02/2005,"NFL, DIV 2  SB",WIN,1,7,10,0,4,4,NULL
MEATH,ANTRIM,13/02/2005,"NFL, DIV 2  SB",WIN,1,10,13,0,9,9,NULL
WATERFORD,TIPPERARY,13/02/2005,"NFL, DIV 2  SB",WIN,0,6,6,0,4,4,NULL
FERMANAGH,LONGFORD,20/02/2005,"NFL, DIV 2  SA",LOSS,0,10,10,0,12,12,NULL
KERRY,DUBLIN,05/03/2005,"NFL, DIV 1  SA",WIN,2,13,19,2,11,17,NULL
KILDARE,DOWN,06/03/2005,"NFL, DIV 1  SB",WIN,1,17,20,0,9,9,NULL
SLIGO,GALWAY,06/03/2005,"NFL, DIV 1  SB",LOSS,0,7,7,4,16,28,NULL
LAOIS,ARMAGH,06/03/2005,"NFL, DIV 1  SB",LOSS,0,17,17,3,10,19,NULL
MAYO,CORK,06/03/2005,"NFL, DIV 1  SA",WIN,0,14,14,0,11,11,NULL
OFFALY,TYRONE,06/03/2005,"NFL, DIV 1  SA",LOSS,0,9,9,0,18,18,NULL
WESTMEATH,DONEGAL,06/03/2005,"NFL, DIV 1  SA",WIN,1,12,15,1,11,14,NULL
LIMERICK,WEXFORD,06/03/2005,"NFL, DIV 1  SB",LOSS,1,11,14,3,15,24,NULL
WATERFORD,ANTRIM,06/03/2005,"NFL, DIV 2  SB",LOSS,0,9,9,4,17,29,NULL
DERRY,CAVAN,06/03/2005,"NFL, DIV 2  SB",WIN,2,16,22,0,10,10,NULL
LEITRIM,CLARE,06/03/2005,"NFL, DIV 2  SA",WIN,1,12,15,1,11,14,NULL
CARLOW,LONGFORD,06/03/2005,"NFL, DIV 2  SA",LOSS,0,9,9,1,19,22,NULL
FERMANAGH,MONAGHAN,06/03/2005,"NFL, DIV 2  SA",WIN,2,13,19,0,13,13,NULL
LONDON,ROSCOMMON,06/03/2005,"NFL, DIV 2  SA",LOSS,0,5,5,1,23,26,NULL
MEATH,TIPPERARY,06/03/2005,"NFL, DIV 2  SB",WIN,1,14,17,1,7,10,NULL
WICKLOW,LOUTH,06/03/2005,"NFL, DIV 2  SB",TIE,1,11,14,0,14,14,NULL
WESTMEATH,DUBLIN,12/03/2005,"NFL, DIV 1  SA",LOSS,0,9,9,0,11,11,NULL
CLARE,LONGFORD,12/03/2005,"NFL, DIV 2  SA",TIE,0,9,9,0,9,9,NULL
DOWN,ARMAGH,13/03/2005,"NFL, DIV 1  SB",LOSS,1,7,10,0,12,12,NULL
TYRONE,CORK,13/03/2005,"NFL, DIV 1  SA",WIN,1,12,15,0,13,13,NULL
DONEGAL,KERRY,13/03/2005,"NFL, DIV 1  SA",WIN,1,10,13,1,9,12,NULL
