Team_Name,Opp_Name,Date,Game_Round,Team_Outcome,Team_Goals,Team_Points,Team_Score,Opp_Goals,Opp_Points,Opp_Score,Venue
WICKLOW,LIMERICK,15/04/2001,"NFL, DIV 2  SA",LOSS,0,8,8,1,8,11,THE GAELIC GROUNDS
MONAGHAN,TIPPERARY,15/04/2001,"NFL, DIV 2  SB",WIN,3,12,21,1,9,12,SCOTSTOWN
CARLOW,WEXFORD,18/04/2001,"NFL, DIV 2  SB",WIN,2,8,14,1,4,7,DR CULLEN PARK
SLIGO,GALWAY,21/04/2001,"NFL, DIV 1 ",LOSS,0,11,11,2,12,18,DR HYDE PARK
MAYO,ROSCOMMON,22/04/2001,"NFL, DIV 1  SEMI-FINAL",WIN,0,16,16,1,10,13,MARKIEVICZ PARK
KILDARE,CORK,22/04/2001,"NFL, DIV 2  SEMI-FINAL",LOSS,1,11,14,1,12,15,NENAGH
WESTMEATH,DOWN,22/04/2001,"NFL, DIV 2  SEMI-FINAL",WIN,0,20,20,2,5,11,PAIRC TAILTEAN
MAYO,GALWAY,29/04/2001,"NFL, DIV 1  FINAL",WIN,0,13,13,0,12,12,CROKE PARK
WESTMEATH,CORK,29/04/2001,"NFL, DIV 2  FINAL",WIN,3,11,20,2,13,19,CROKE PARK
FERMANAGH,DOWN,03/02/2002,"NFL, DIV 1  SB",LOSS,1,13,16,1,17,20,BALLYKINLAR
ARMAGH,LOUTH,03/02/2002,"NFL, DIV 2  SA",WIN,1,15,18,0,13,13,CARRICK CRUPPEN
LONDON,ANTRIM,03/02/2002,"NFL, DIV 2  SA",LOSS,0,5,5,1,19,22,RUISLIP
WICKLOW,KERRY,03/02/2002,"NFL, DIV 2  SA",LOSS,0,12,12,1,15,18,KILLARNEY
LAOIS,TIPPERARY,03/02/2002,"NFL, DIV 2  SB",TIE,0,10,10,1,7,10,PORTARLINGTON
WATERFORD,WEXFORD,03/02/2002,"NFL, DIV 2  SB",LOSS,1,5,8,0,10,10,DUNGARVAN
DERRY,CAVAN,10/02/2002,"NFL, DIV 1  SB",LOSS,1,10,13,1,15,18,CELTIC PARK
DONEGAL,DUBLIN,10/02/2002,"NFL, DIV 1  SA",LOSS,0,14,14,2,10,16,PARNELL PARK
FERMANAGH,CLARE,10/02/2002,"NFL, DIV 1  SB",WIN,1,14,17,1,8,11,ENNISKILLEN
SLIGO,KILDARE,10/02/2002,"NFL, DIV 1  SB",TIE,0,12,12,0,12,12,NEWBRIDGE
DOWN,MAYO,10/02/2002,"NFL, DIV 1  SB",LOSS,0,5,5,0,10,10,BALLINA
GALWAY,TYRONE,10/02/2002,"NFL, DIV 1  SA",LOSS,0,9,9,1,8,11,BALLINASLOE
WICKLOW,ARMAGH,10/02/2002,"NFL, DIV 2  SA",LOSS,0,13,13,2,10,16,AUGHRIM
LEITRIM,KERRY,10/02/2002,"NFL, DIV 2  SA",LOSS,0,9,9,2,12,18,KEENAGH
LONDON,LOUTH,10/02/2002,"NFL, DIV 2  SA",LOSS,0,1,1,2,19,25,CASTLEBELLINGHAM
LIMERICK,ANTRIM,10/02/2002,"NFL, DIV 2  SA",WIN,2,11,17,1,11,14,CASEMENT PARK
LAOIS,MEATH,10/02/2002,"NFL, DIV 2  SB",WIN,0,12,12,0,9,9,UNKNOWN
CARLOW,MONAGHAN,10/02/2002,"NFL, DIV 2  SB",LOSS,1,7,10,0,11,11,DR CULLEN PARK
WATERFORD,TIPPERARY,10/02/2002,"NFL, DIV 2  SB",LOSS,1,10,13,1,17,20,ARDFINNAN
LONGFORD,WEXFORD,10/02/2002,"NFL, DIV 2  SB",LOSS,2,9,15,2,10,16,ENNISCORTHY
FERMANAGH,CAVAN,17/02/2002,"NFL, DIV 1  SB",LOSS,0,14,14,0,16,16,BREFFNI PARK
OFFALY,DONEGAL,17/02/2002,"NFL, DIV 1  SA",LOSS,0,13,13,0,16,16,TULLAMORE
WESTMEATH,GALWAY,17/02/2002,"NFL, DIV 1  SA",LOSS,0,13,13,3,12,21,MULLINGAR
KILDARE,DERRY,17/02/2002,"NFL, DIV 1  SB",WIN,1,15,18,1,11,14,NEWBRIDGE
CLARE,MAYO,17/02/2002,"NFL, DIV 1  SB",LOSS,1,6,9,2,19,25,"CUSACK PARK, ENNIS"
ROSCOMMON,CORK,17/02/2002,"NFL, DIV 1  SA",WIN,1,9,12,0,10,10,PAIRC UI CHAOIMH
SLIGO,DOWN,17/02/2002,"NFL, DIV 1  SB",WIN,0,11,11,0,10,10,MARKIEVICZ PARK
TYRONE,DUBLIN,17/02/2002,"NFL, DIV 1  SA",WIN,0,18,18,2,10,16,DUNGANNON
LEITRIM,ARMAGH,17/02/2002,"NFL, DIV 2  SA",LOSS,0,9,9,3,16,25,CARRICK CRUPPEN
ANTRIM,KERRY,17/02/2002,"NFL, DIV 2  SA",LOSS,0,7,7,0,14,14,TRALEE
WICKLOW,LOUTH,17/02/2002,"NFL, DIV 2  SA",LOSS,0,12,12,2,18,24,DROGHEDA
LONDON,LIMERICK,17/02/2002,"NFL, DIV 2  SA",LOSS,0,10,10,3,22,31,MITCHAM
CARLOW,LAOIS,17/02/2002,"NFL, DIV 2  SB",LOSS,1,11,14,2,16,22,PORTARLINGTON
WATERFORD,LONGFORD,17/02/2002,"NFL, DIV 2  SB",LOSS,1,12,15,4,13,25,DUNGARVAN
MEATH,TIPPERARY,17/02/2002,"NFL, DIV 2  SB",WIN,0,14,14,1,7,10,ARDFINNAN
MONAGHAN,WEXFORD,17/02/2002,"NFL, DIV 2  SB",LOSS,1,6,9,1,8,11,SCOTSTOWN
OFFALY,DUBLIN,23/02/2002,"NFL, DIV 1  SA",TIE,1,7,10,0,10,10,TULLAMORE
CARLOW,LONGFORD,23/02/2002,"NFL, DIV 2  SB",LOSS,0,8,8,1,14,17,KENAGH
CLARE,DERRY,24/02/2002,"NFL, DIV 1  SB",WIN,2,5,11,0,7,7,"CUSACK PARK, ENNIS"
GALWAY,DONEGAL,24/02/2002,"NFL, DIV 1  SA",WIN,0,9,9,0,7,7,BALLYSHANNON
KILDARE,CAVAN,24/02/2002,"NFL, DIV 1  SB",WIN,1,12,15,1,9,12,BREFFNI PARK
LEITRIM,LIMERICK,24/02/2002,"NFL, DIV 1  SB",LOSS,2,10,16,2,16,22,UNKNOWN
SLIGO,MAYO,24/02/2002,"NFL, DIV 1  SB",LOSS,0,10,10,0,11,11,MARKIEVICZ PARK
ROSCOMMON,TYRONE,24/02/2002,"NFL, DIV 1  SA",LOSS,0,14,14,3,20,29,OMAGH
WESTMEATH,CORK,24/02/2002,"NFL, DIV 1  SA",WIN,1,14,17,1,6,9,MULLINGAR
MEATH,MONAGHAN,24/02/2002,"NFL, DIV 2  SB",TIE,2,10,16,3,7,16,SCOTSTOWN
GALWAY,CORK,03/03/2002,"NFL, DIV 1  SA",LOSS,1,8,11,1,11,14,TUAM STADIUM
WESTMEATH,DUBLIN,03/03/2002,"NFL, DIV 1  SA",LOSS,1,16,19,3,13,22,PARNELL PARK
DONEGAL,TYRONE,03/03/2002,"NFL, DIV 1  SA",WIN,1,10,13,0,11,11,BALLYBOFEY
SLIGO,DERRY,03/03/2002,"NFL, DIV 1  SB",WIN,0,14,14,1,10,13,CELTIC PARK
CLARE,DOWN,03/03/2002,"NFL, DIV 1  SB",LOSS,0,9,9,2,11,17,NEWRY
FERMANAGH,KILDARE,03/03/2002,"NFL, DIV 1  SB",WIN,1,13,16,1,9,12,ENNISKILLEN
